0 ms; 2 id; Start reading 9
0 ms; 3 id; Start reading 10
0 ms; 4 id; Start reading 10
8 ms; 2 id; Stop reading
8 ms; 2 id; Start reading 8
9 ms; 4 id; Stop reading
9 ms; 3 id; Stop reading
9 ms; 4 id; Start reading 9
9 ms; 3 id; Start reading 6
15 ms; 3 id; Stop reading
15 ms; 3 id; Start reading 10
16 ms; 2 id; Stop reading
16 ms; 2 id; Start reading 9
18 ms; 4 id; Stop reading
25 ms; 2 id; Stop reading
25 ms; 3 id; Stop reading
25 ms; 4 id; Start writing 7
32 ms; 4 id; Stop writing
32 ms; 2 id; Start reading 9
32 ms; 3 id; Start reading 10
41 ms; 2 id; Stop reading
42 ms; 3 id; Stop reading
42 ms; 4 id; Start writing 6
48 ms; 4 id; Stop writing
48 ms; 2 id; Start reading 7
48 ms; 3 id; Start reading 2
48 ms; 4 id; Start reading 2
50 ms; 4 id; Stop reading
50 ms; 3 id; Stop reading
50 ms; 4 id; Start reading 2
50 ms; 3 id; Start reading 10
52 ms; 4 id; Stop reading
52 ms; 4 id; Start reading 8
55 ms; 2 id; Stop reading
55 ms; 2 id; Start reading 6
60 ms; 4 id; Stop reading
60 ms; 3 id; Stop reading
60 ms; 4 id; Start reading 1
60 ms; 3 id; Start reading 3
61 ms; 2 id; Stop reading
61 ms; 2 id; Start reading 4
61 ms; 4 id; Stop reading
61 ms; 4 id; Start reading 7
63 ms; 3 id; Stop reading
63 ms; 3 id; Start reading 1
64 ms; 3 id; Stop reading
64 ms; 3 id; Start reading 6
65 ms; 2 id; Stop reading
65 ms; 2 id; Start reading 9
68 ms; 4 id; Stop reading
68 ms; 4 id; Start reading 6
70 ms; 3 id; Stop reading
74 ms; 2 id; Stop reading
74 ms; 4 id; Stop reading
74 ms; 3 id; Start writing 1
75 ms; 3 id; Stop writing
75 ms; 2 id; Start reading 1
75 ms; 4 id; Start reading 9
75 ms; 3 id; Start reading 5
76 ms; 2 id; Stop reading
76 ms; 2 id; Start reading 7
80 ms; 3 id; Stop reading
83 ms; 2 id; Stop reading
84 ms; 4 id; Stop reading
84 ms; 3 id; Start writing 10
94 ms; 3 id; Stop writing
94 ms; 2 id; Start reading 3
94 ms; 4 id; Start reading 9
94 ms; 3 id; Start reading 10
97 ms; 2 id; Stop reading
97 ms; 2 id; Start reading 9
103 ms; 4 id; Stop reading
103 ms; 4 id; Start reading 8
104 ms; 3 id; Stop reading
104 ms; 3 id; Start reading 6
106 ms; 2 id; Stop reading
106 ms; 2 id; Start reading 9
110 ms; 3 id; Stop reading
110 ms; 3 id; Start reading 10
111 ms; 4 id; Stop reading
111 ms; 4 id; Start reading 8
115 ms; 2 id; Stop reading
115 ms; 2 id; Start reading 4
119 ms; 2 id; Stop reading
119 ms; 4 id; Stop reading
119 ms; 2 id; Start reading 1
119 ms; 4 id; Start reading 3
120 ms; 2 id; Stop reading
120 ms; 3 id; Stop reading
120 ms; 2 id; Start reading 4
120 ms; 3 id; Start reading 7
122 ms; 4 id; Stop reading
122 ms; 4 id; Start reading 5
124 ms; 2 id; Stop reading
124 ms; 2 id; Start reading 1
125 ms; 2 id; Stop reading
125 ms; 2 id; Start reading 5
127 ms; 3 id; Stop reading
127 ms; 4 id; Stop reading
127 ms; 3 id; Start reading 6
127 ms; 4 id; Start reading 10
130 ms; 2 id; Stop reading
133 ms; 3 id; Stop reading
137 ms; 4 id; Stop reading
137 ms; 2 id; Start writing 6
143 ms; 2 id; Stop writing
143 ms; 3 id; Start reading 10
143 ms; 4 id; Start reading 6
143 ms; 2 id; Start reading 9
149 ms; 4 id; Stop reading
149 ms; 4 id; Start reading 8
152 ms; 2 id; Stop reading
152 ms; 2 id; Start reading 10
153 ms; 3 id; Stop reading
153 ms; 3 id; Start reading 6
157 ms; 4 id; Stop reading
157 ms; 4 id; Start reading 4
159 ms; 3 id; Stop reading
159 ms; 3 id; Start reading 8
161 ms; 4 id; Stop reading
161 ms; 4 id; Start reading 5
162 ms; 2 id; Stop reading
162 ms; 2 id; Start reading 7
166 ms; 4 id; Stop reading
166 ms; 4 id; Start reading 3
167 ms; 3 id; Stop reading
167 ms; 3 id; Start reading 4
169 ms; 2 id; Stop reading
169 ms; 4 id; Stop reading
171 ms; 3 id; Stop reading
171 ms; 2 id; Start writing 8
179 ms; 2 id; Stop writing
179 ms; 4 id; Start reading 7
179 ms; 3 id; Start reading 1
179 ms; 2 id; Start reading 7
180 ms; 3 id; Stop reading
180 ms; 3 id; Start reading 2
182 ms; 3 id; Stop reading
182 ms; 3 id; Start reading 6
186 ms; 2 id; Stop reading
186 ms; 2 id; Start reading 9
186 ms; 4 id; Stop reading
186 ms; 4 id; Start reading 4
188 ms; 3 id; Stop reading
188 ms; 3 id; Start reading 3
190 ms; 4 id; Stop reading
190 ms; 4 id; Start reading 4
191 ms; 3 id; Stop reading
194 ms; 4 id; Stop reading
195 ms; 2 id; Stop reading
195 ms; 3 id; Start writing 2
197 ms; 3 id; Stop writing
197 ms; 4 id; Start writing 2
199 ms; 4 id; Stop writing
199 ms; 2 id; Start reading 9
199 ms; 3 id; Start reading 1
199 ms; 4 id; Start reading 4
200 ms; 3 id; Stop reading
200 ms; 3 id; Start reading 9
203 ms; 4 id; Stop reading
208 ms; 2 id; Stop reading
209 ms; 3 id; Stop reading
209 ms; 4 id; Start writing 5
214 ms; 4 id; Stop writing
214 ms; 2 id; Start reading 10
214 ms; 3 id; Start reading 8
214 ms; 4 id; Start reading 6
220 ms; 4 id; Stop reading
220 ms; 4 id; Start reading 10
222 ms; 3 id; Stop reading
222 ms; 3 id; Start reading 7
224 ms; 2 id; Stop reading
224 ms; 2 id; Start reading 3
227 ms; 2 id; Stop reading
227 ms; 2 id; Start reading 2
229 ms; 2 id; Stop reading
229 ms; 2 id; Start reading 5
229 ms; 3 id; Stop reading
229 ms; 3 id; Start reading 3
230 ms; 4 id; Stop reading
230 ms; 4 id; Start reading 6
232 ms; 3 id; Stop reading
232 ms; 3 id; Start reading 4
234 ms; 2 id; Stop reading
234 ms; 2 id; Start reading 8
236 ms; 3 id; Stop reading
236 ms; 4 id; Stop reading
236 ms; 3 id; Start reading 7
236 ms; 4 id; Start reading 1
237 ms; 4 id; Stop reading
237 ms; 4 id; Start reading 1
238 ms; 4 id; Stop reading
238 ms; 4 id; Start reading 4
242 ms; 2 id; Stop reading
242 ms; 2 id; Start reading 1
242 ms; 4 id; Stop reading
242 ms; 4 id; Start reading 4
243 ms; 2 id; Stop reading
243 ms; 3 id; Stop reading
246 ms; 4 id; Stop reading
246 ms; 2 id; Start writing 4
250 ms; 2 id; Stop writing
250 ms; 3 id; Start reading 2
250 ms; 4 id; Start reading 7
250 ms; 2 id; Start reading 6
252 ms; 3 id; Stop reading
252 ms; 3 id; Start reading 8
256 ms; 2 id; Stop reading
256 ms; 2 id; Start reading 5
257 ms; 4 id; Stop reading
257 ms; 4 id; Start reading 9
260 ms; 3 id; Stop reading
260 ms; 3 id; Start reading 2
261 ms; 2 id; Stop reading
261 ms; 2 id; Start reading 2
262 ms; 3 id; Stop reading
262 ms; 3 id; Start reading 10
263 ms; 2 id; Stop reading
263 ms; 2 id; Start reading 4
266 ms; 4 id; Stop reading
266 ms; 4 id; Start reading 4
267 ms; 2 id; Stop reading
267 ms; 2 id; Start reading 2
269 ms; 2 id; Stop reading
269 ms; 2 id; Start reading 8
270 ms; 4 id; Stop reading
270 ms; 4 id; Start reading 6
272 ms; 3 id; Stop reading
272 ms; 3 id; Start reading 3
275 ms; 3 id; Stop reading
275 ms; 3 id; Start reading 2
276 ms; 4 id; Stop reading
276 ms; 4 id; Start reading 1
277 ms; 2 id; Stop reading
277 ms; 4 id; Stop reading
277 ms; 3 id; Stop reading
277 ms; 2 id; Start reading 10
287 ms; 2 id; Stop reading
287 ms; 4 id; Start writing 8
295 ms; 4 id; Stop writing
295 ms; 3 id; Start reading 6
295 ms; 2 id; Start reading 10
295 ms; 4 id; Start reading 8
301 ms; 3 id; Stop reading
301 ms; 3 id; Start reading 3
303 ms; 4 id; Stop reading
303 ms; 4 id; Start reading 5
304 ms; 3 id; Stop reading
304 ms; 3 id; Start reading 10
305 ms; 2 id; Stop reading
305 ms; 2 id; Start reading 6
308 ms; 4 id; Stop reading
308 ms; 4 id; Start reading 4
311 ms; 2 id; Stop reading
311 ms; 2 id; Start reading 8
312 ms; 4 id; Stop reading
312 ms; 4 id; Start reading 7
314 ms; 3 id; Stop reading
314 ms; 3 id; Start reading 10
319 ms; 2 id; Stop reading
319 ms; 4 id; Stop reading
319 ms; 2 id; Start reading 8
319 ms; 4 id; Start reading 4
323 ms; 4 id; Stop reading
323 ms; 4 id; Start reading 6
324 ms; 3 id; Stop reading
324 ms; 3 id; Start reading 10
327 ms; 2 id; Stop reading
327 ms; 2 id; Start reading 10
329 ms; 4 id; Stop reading
329 ms; 4 id; Start reading 7
334 ms; 3 id; Stop reading
336 ms; 4 id; Stop reading
337 ms; 2 id; Stop reading
337 ms; 3 id; Start writing 6
343 ms; 3 id; Stop writing
343 ms; 4 id; Start reading 5
348 ms; 4 id; Stop reading
348 ms; 2 id; Start writing 1
349 ms; 2 id; Stop writing
349 ms; 3 id; Start reading 5
349 ms; 4 id; Start reading 6
349 ms; 2 id; Start reading 6
354 ms; 3 id; Stop reading
355 ms; 2 id; Stop reading
355 ms; 4 id; Stop reading
355 ms; 3 id; Start writing 3
358 ms; 3 id; Stop writing
358 ms; 2 id; Start reading 7
358 ms; 4 id; Start reading 2
360 ms; 4 id; Stop reading
365 ms; 2 id; Stop reading
365 ms; 3 id; Start writing 6
371 ms; 3 id; Stop writing
371 ms; 4 id; Start reading 10
381 ms; 4 id; Stop reading
381 ms; 2 id; Start writing 1
382 ms; 2 id; Stop writing
382 ms; 3 id; Start reading 7
382 ms; 4 id; Start reading 7
389 ms; 3 id; Stop reading
389 ms; 4 id; Stop reading
389 ms; 2 id; Start writing 6
395 ms; 2 id; Stop writing
395 ms; 3 id; Start reading 7
395 ms; 4 id; Start reading 4
395 ms; 2 id; Start reading 7
399 ms; 4 id; Stop reading
399 ms; 4 id; Start reading 6
402 ms; 3 id; Stop reading
402 ms; 2 id; Stop reading
402 ms; 3 id; Start reading 5
402 ms; 2 id; Start reading 6
405 ms; 4 id; Stop reading
405 ms; 4 id; Start reading 5
407 ms; 3 id; Stop reading
407 ms; 3 id; Start reading 3
408 ms; 2 id; Stop reading
408 ms; 2 id; Start reading 2
410 ms; 2 id; Stop reading
410 ms; 4 id; Stop reading
410 ms; 3 id; Stop reading
410 ms; 2 id; Start reading 1
410 ms; 4 id; Start reading 8
410 ms; 3 id; Start reading 7
411 ms; 2 id; Stop reading
411 ms; 2 id; Start reading 3
414 ms; 2 id; Stop reading
414 ms; 2 id; Start reading 5
417 ms; 3 id; Stop reading
417 ms; 3 id; Start reading 4
418 ms; 4 id; Stop reading
418 ms; 4 id; Start reading 3
419 ms; 2 id; Stop reading
419 ms; 2 id; Start reading 9
421 ms; 4 id; Stop reading
421 ms; 3 id; Stop reading
421 ms; 4 id; Start reading 5
421 ms; 3 id; Start reading 8
426 ms; 4 id; Stop reading
426 ms; 4 id; Start reading 9
428 ms; 2 id; Stop reading
428 ms; 2 id; Start reading 8
429 ms; 3 id; Stop reading
435 ms; 4 id; Stop reading
436 ms; 2 id; Stop reading
436 ms; 3 id; Start writing 3
439 ms; 3 id; Stop writing
439 ms; 4 id; Start writing 1
440 ms; 4 id; Stop writing
440 ms; 2 id; Start reading 9
440 ms; 3 id; Start reading 2
440 ms; 4 id; Start reading 5
442 ms; 3 id; Stop reading
442 ms; 3 id; Start reading 6
445 ms; 4 id; Stop reading
445 ms; 4 id; Start reading 7
448 ms; 3 id; Stop reading
448 ms; 3 id; Start reading 3
449 ms; 2 id; Stop reading
449 ms; 2 id; Start reading 10
451 ms; 3 id; Stop reading
452 ms; 4 id; Stop reading
459 ms; 2 id; Stop reading
459 ms; 3 id; Start writing 2
461 ms; 3 id; Stop writing
461 ms; 4 id; Start reading 1
461 ms; 2 id; Start reading 8
461 ms; 3 id; Start reading 6
462 ms; 4 id; Stop reading
462 ms; 4 id; Start reading 9
467 ms; 3 id; Stop reading
467 ms; 3 id; Start reading 2
469 ms; 3 id; Stop reading
469 ms; 2 id; Stop reading
469 ms; 3 id; Start reading 6
